beta,num_steps,encoding,train_acc,test_acc,spike_density_hidden,spike_density_output,mem_mean_hidden,mem_var_hidden,wall_clock_s
0.5,25,rate,0.9281,0.9556,0.02221,0.000977,-0.0882,0.3919,141.64
0.5,50,rate,0.9232,0.9579,0.01321,0.000067,-0.1557,0.3835,239.30
0.5,100,rate,0.9150,0.9537,0.00915,0.000010,-0.1939,0.3872,450.93
0.7,25,rate,0.9328,0.9593,0.01385,0.000834,-0.3490,0.6183,139.72
0.7,50,rate,0.9248,0.9575,0.00952,0.000062,-0.4204,0.6299,235.22
0.7,100,rate,0.9174,0.9531,0.00746,0.000027,-0.4793,0.6489,458.41
0.8,25,rate,0.9298,0.9609,0.01495,0.002591,-0.5954,1.0291,142.83
0.8,50,rate,0.9213,0.9569,0.01214,0.001089,-0.7302,1.1528,239.94
0.8,100,rate,0.9170,0.9523,0.01169,0.001075,-0.7947,1.2308,456.52
0.9,25,rate,0.9146,0.9585,0.03935,0.032917,-0.8244,2.5713,141.99
0.9,50,rate,0.9058,0.9461,0.03822,0.031998,-1.0983,3.5778,240.05
0.9,100,rate,0.8953,0.9454,0.03815,0.034367,-1.2882,4.2665,454.41
0.95,25,rate,0.9221,0.9590,0.04115,0.036811,-1.2753,4.8528,142.13
0.95,50,rate,0.9139,0.9555,0.03733,0.032763,-2.0907,9.4118,240.32
0.95,100,rate,0.9064,0.9452,0.03739,0.033831,-2.7190,13.4590,456.21
0.99,25,rate,0.9243,0.9610,0.04336,0.042566,-1.8740,9.3543,142.03
0.99,50,rate,0.9188,0.9588,0.03625,0.032200,-3.9256,30.3553,240.57
0.99,100,rate,0.9149,0.9536,0.03182,0.027472,-7.3553,86.7620,453.78
